timestamp,ACLineStatus,BatteryFlag,BatteryLifePercent,SystemStatusFlag,BatteryLifeTime,BatteryFullLifeTime
1611054601,1,1,100,0,4294967295,4294967295
1611054606,1,1,100,0,4294967295,4294967295
1611054611,1,1,100,0,4294967295,4294967295
1611054616,1,1,100,0,4294967295,4294967295
1611054621,0,1,100,0,36024,4294967295
1611054626,0,1,100,0,36024,4294967295
1611054631,0,1,100,0,36024,4294967295
1611054681,0,1,99,0,4314,4294967295
1611054686,0,1,99,0,4314,4294967295
1611054691,0,1,99,0,4314,4294967295
1611054696,0,1,99,0,4314,4294967295
1611054701,0,1,99,0,4314,4294967295
1611054706,0,1,99,0,4314,4294967295
1611054711,0,1,98,0,10437,4294967295
1611054716,0,1,98,0,10437,4294967295
1611054721,0,1,98,0,10437,4294967295
1611054726,0,1,98,0,10437,4294967295
1611054731,0,1,98,0,10437,4294967295
1611054736,0,1,98,0,10437,4294967295
1611054741,0,1,98,0,10437,4294967295
1611054746,0,1,98,0,10437,4294967295
1611054751,0,1,98,0,10437,4294967295
1611054756,0,1,98,0,10437,4294967295
1611054761,0,1,98,0,10437,4294967295
1611054766,0,1,98,0,10437,4294967295
1611054771,0,1,98,0,10437,4294967295
1611054776,0,1,98,0,10437,4294967295
1611054781,0,1,98,0,10437,4294967295
1611054786,0,1,98,0,10437,4294967295
1611054791,0,1,98,0,10437,4294967295
1611054796,0,1,98,0,10437,4294967295
1611054801,0,1,98,0,10437,4294967295
1611054806,0,1,97,0,11810,4294967295
1611054811,0,1,97,0,11810,4294967295
1611054816,0,1,97,0,11810,4294967295
1611054822,0,1,97,0,11810,4294967295
1611054827,0,1,97,0,11810,4294967295
1611054832,0,1,97,0,11810,4294967295
1611054837,0,1,97,0,11810,4294967295
1611054842,0,1,97,0,11810,4294967295
1611054847,0,1,97,0,11810,4294967295
1611054852,0,1,97,0,11810,4294967295
1611054857,0,1,97,0,11810,4294967295
1611054862,0,1,97,0,11810,4294967295
1611054867,0,1,97,0,11810,4294967295
1611054872,0,1,97,0,11810,4294967295
1611054877,0,1,97,0,11810,4294967295
1611054882,0,1,97,0,11810,4294967295
1611054887,0,1,97,0,11810,4294967295
1611054892,0,1,97,0,11810,4294967295
1611054897,0,1,97,0,11810,4294967295
1611054902,0,1,97,0,11810,4294967295
1611054907,0,1,97,0,11810,4294967295
1611054912,0,1,97,0,11810,4294967295
1611054917,0,1,97,0,11810,4294967295
1611054922,0,1,97,0,11810,4294967295
1611054927,0,1,96,0,11574,4294967295
1611054932,0,1,96,0,11574,4294967295
1611054937,0,1,96,0,11574,4294967295
1611054942,0,1,96,0,11574,4294967295
1611054947,0,1,96,0,11574,4294967295
1611054952,0,1,96,0,11574,4294967295
1611054957,0,1,96,0,11574,4294967295
1611054962,0,1,96,0,11574,4294967295
1611054967,0,1,96,0,11574,4294967295
1611054972,0,1,96,0,11574,4294967295
1611054977,0,1,96,0,11574,4294967295
1611054982,0,1,96,0,11574,4294967295
1611054987,0,1,96,0,11574,4294967295
1611054992,0,1,96,0,11574,4294967295
1611054997,0,1,96,0,11574,4294967295
1611055002,0,1,96,0,11574,4294967295
1611055007,0,1,96,0,11574,4294967295
1611055012,0,1,96,0,11574,4294967295
1611055017,0,1,96,0,11574,4294967295
1611055022,0,1,96,0,11574,4294967295
1611055027,0,1,96,0,11574,4294967295
1611055032,0,1,96,0,11574,4294967295
1611055037,0,1,96,0,11491,4294967295
1611055042,0,1,95,0,9373,4294967295
1611055047,0,1,95,0,9373,4294967295
1611055052,0,1,95,0,13163,4294967295
1611055057,0,1,95,0,13163,4294967295
1611055062,0,1,95,0,13163,4294967295
1611055067,0,1,95,0,13163,4294967295
1611055072,0,1,95,0,13163,4294967295
1611055077,0,1,95,0,13163,4294967295
1611055082,0,1,95,0,13163,4294967295
1611055087,0,1,95,0,13163,4294967295
1611055092,0,1,95,0,13163,4294967295
1611055097,0,1,95,0,13163,4294967295
1611055102,0,1,95,0,13163,4294967295
1611055107,0,1,95,0,13163,4294967295
1611055112,0,1,95,0,13163,4294967295
1611055117,0,1,95,0,13163,4294967295
1611055122,0,1,95,0,13163,4294967295
1611055127,0,1,95,0,13163,4294967295
1611055132,0,1,95,0,13163,4294967295
1611055137,0,1,95,0,13163,4294967295
1611055142,0,1,95,0,13163,4294967295
1611055147,0,1,95,0,13163,4294967295
1611055152,0,1,95,0,10569,4294967295
1611055157,0,1,95,0,10569,4294967295
1611055162,0,1,95,0,10569,4294967295
1611055167,0,1,95,0,10569,4294967295
1611055172,0,1,94,0,11126,4294967295
1611055177,0,1,94,0,11126,4294967295
1611055182,0,1,94,0,9083,4294967295
1611055187,0,1,94,0,9083,4294967295
1611055192,0,1,94,0,9083,4294967295
1611055197,0,1,94,0,9083,4294967295
1611055202,0,1,94,0,9083,4294967295
1611055207,0,1,94,0,9083,4294967295
1611055212,0,1,94,0,9083,4294967295
1611055217,0,1,94,0,9083,4294967295
1611055222,0,1,94,0,9083,4294967295
1611055227,0,1,94,0,9083,4294967295
1611055232,0,1,94,0,9083,4294967295
1611055237,0,1,94,0,9083,4294967295
1611055242,0,1,94,0,9083,4294967295
1611055247,0,1,94,0,9083,4294967295
1611055252,0,1,94,0,9083,4294967295
1611055257,0,1,94,0,9083,4294967295
1611055262,0,1,94,0,9083,4294967295
1611055267,0,1,94,0,9083,4294967295
1611055272,0,1,94,0,9083,4294967295
1611055277,0,1,94,0,9083,4294967295
1611055282,0,1,94,0,9083,4294967295
1611055287,0,1,93,0,11083,4294967295
1611055292,0,1,93,0,11083,4294967295
1611055297,0,1,93,0,11083,4294967295
1611055302,0,1,93,0,11083,4294967295
1611055307,0,1,93,0,11083,4294967295
1611055312,0,1,93,0,11083,4294967295
1611055317,0,1,93,0,11083,4294967295
1611055322,0,1,93,0,11083,4294967295
1611055327,0,1,93,0,11083,4294967295
1611055332,0,1,93,0,11083,4294967295
1611055337,0,1,93,0,11083,4294967295
1611055342,0,1,93,0,11083,4294967295
1611055347,0,1,93,0,11083,4294967295
1611055352,0,1,93,0,11083,4294967295
