timestamp,ACLineStatus,BatteryFlag,BatteryLifePercent,SystemStatusFlag,BatteryLifeTime,BatteryFullLifeTime
1611158982,1,1,99,0,4294967295,4294967295
1611158987,1,1,99,0,4294967295,4294967295
1611158992,1,1,99,0,4294967295,4294967295
1611158997,1,1,99,0,4294967295,4294967295
1611159002,1,1,99,0,4294967295,4294967295
1611159007,1,1,99,0,4294967295,4294967295
1611159012,1,1,99,0,4294967295,4294967295
1611159017,1,1,99,0,4294967295,4294967295
1611159022,1,1,99,0,4294967295,4294967295
1611159027,1,1,99,0,4294967295,4294967295
1611159032,1,1,99,0,4294967295,4294967295
1611159037,1,1,99,0,4294967295,4294967295
1611159042,1,1,99,0,4294967295,4294967295
1611159047,1,1,99,0,4294967295,4294967295
1611159052,1,1,99,0,4294967295,4294967295
1611159057,1,1,99,0,4294967295,4294967295
1611159062,1,1,99,0,4294967295,4294967295
1611159067,1,1,99,0,4294967295,4294967295
1611159072,1,1,99,0,4294967295,4294967295
1611159077,1,1,99,0,4294967295,4294967295
1611159082,0,1,99,0,36093,4294967295
1611159087,0,1,99,0,36093,4294967295
1611159092,0,1,99,0,36093,4294967295
1611159097,0,1,99,0,36093,4294967295
1611159102,0,1,99,0,36093,4294967295
1611159107,0,1,98,0,4120,4294967295
1611159112,0,1,98,0,8295,4294967295
1611159117,0,1,98,0,8295,4294967295
1611159122,0,1,98,0,8295,4294967295
1611159127,0,1,98,0,8295,4294967295
1611159132,0,1,98,0,8295,4294967295
1611159137,0,1,98,0,8295,4294967295
1611159142,0,1,98,0,8295,4294967295
1611159147,0,1,98,0,8295,4294967295
1611159152,0,1,98,0,8295,4294967295
1611159157,0,1,98,0,8295,4294967295
1611159162,0,1,98,0,8295,4294967295
1611159167,0,1,97,0,8666,4294967295
1611159172,0,1,97,0,8666,4294967295
1611159177,0,1,97,0,8666,4294967295
1611159182,0,1,97,0,8666,4294967295
1611159187,0,1,97,0,8666,4294967295
1611159192,0,1,97,0,8666,4294967295
1611159197,0,1,97,0,8666,4294967295
1611159202,0,1,97,0,8666,4294967295
1611159207,0,1,97,0,8666,4294967295
1611159212,0,1,97,0,8666,4294967295
1611159217,0,1,97,0,8666,4294967295
1611159222,0,1,96,0,7915,4294967295
1611159227,0,1,96,0,7915,4294967295
1611159232,0,1,96,0,7915,4294967295
1611159237,0,1,96,0,7915,4294967295
1611159242,0,1,96,0,7915,4294967295
1611159247,0,1,96,0,7915,4294967295
1611159252,0,1,96,0,7915,4294967295
1611159257,0,1,96,0,7915,4294967295
1611159262,0,1,96,0,7915,4294967295
1611159267,0,1,96,0,7915,4294967295
1611159272,0,1,96,0,7915,4294967295
1611159277,0,1,96,0,7915,4294967295
1611159282,0,1,96,0,7915,4294967295
1611159287,0,1,95,0,3853,4294967295
1611159292,0,1,95,0,3853,4294967295
1611159297,0,1,95,0,3853,4294967295
1611159302,0,1,95,0,3853,4294967295
1611159307,0,1,95,0,3853,4294967295
